Detailed Resource Usage
Module Name,Fabric 4LUT,Fabric DFF,Interface 4LUT,Interface DFF,Single-Ended I/O,Differential I/O Pairs,LSRAM 18K,PLLs and CCCs,Chip Globals,MSS,HS USB,Multi-Mode UART,RCOSC_50MHZ,XTLOSC
CommsFPGA_CCC_0/Primitives,0,0,0,0,0,0,0,1,2,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/Primitives,2,0,0,0,0,0,0,0,2,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO/FIFO_8Kx9_0/L31.U_corefifo_async/Primitives,142,114,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO/FIFO_8Kx9_0/L31.U_corefifo_async/Rd_corefifo_doubleSync/Primitives,0,28,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO/FIFO_8Kx9_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO/FIFO_8Kx9_0/L31.U_corefifo_async/Wr_corefifo_doubleSync/Primitives,0,28,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO/FIFO_8Kx9_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,15,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO/FIFO_8Kx9_0/Primitives,2,13,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/RECEIVE_FIFO/FIFO_8Kx9_0/RW1_UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,180,180,0,0,5,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31.U_corefifo_async/Primitives,107,98,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31.U_corefifo_async/Rd_corefifo_doubleSync/Primitives,0,24,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31.U_corefifo_async/Rd_corefifo_grayToBinConv/Primitives,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31.U_corefifo_async/Wr_corefifo_doubleSync/Primitives,0,24,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/L31.U_corefifo_async/Wr_corefifo_grayToBinConv/Primitives,11,0,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/Primitives,9,12,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/FIFOS_INST/TRANSMIT_FIFO/FIFO_2Kx8_0/RW1_UI_ram_wrapper_1/L1_asyncnonpipe/Primitives,0,0,36,36,0,0,1,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER_INST/AFE_RX_STATE_MACHINE/Primitives,25,13,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER_INST/MANCHESTER_DECODER_ADAPTER_INST/Primitives,12,25,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER_INST/MANCHESTER_DECODER_ADAPTER_INST/RX_IDLE_LINE_DETECTOR/Primitives,9,7,0,0,0,0,0,0,0,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/Primitives,186,102,0,0,0,0,0,0,1,0,0,0,0,0
CommsFPGA_top_0/MANCHESTER_DECODER_INST/ReadFIFO_Write_SM_PROC/RX_CRC_GEN_INST/Primitives,13,16,0,0,0,0,0,0,0,0,0,0,0,0
